LECROYHDO6104,19130,Waveform
Segments,1,SegmentSize,25002
Segment,TrigTime,TimeSinceSegment1
#1,27-Jul-2000 16:50:59,0                 
Time,Ampl
-0.0048202504,0.029508336
-0.0048198504,0.029375002
-0.0048194504,0.028966669
-0.0048190504,0.028858336
-0.0048186504,0.029275002
-0.0048182504,0.029847225
-0.0048178504,0.030091669
-0.0048174504,0.029958336
-0.0048170504,0.029619447
-0.0048166504,0.029408336
-0.0048162504,0.029580558
-0.0048158504,0.030075002
-0.0048154504,0.030519447
-0.0048150504,0.030666669
-0.0048146504,0.030533336
-0.0048142504,0.03027778
-0.0048138504,0.030175002
-0.0048134504,0.030219447
-0.0048130504,0.030219447
-0.0048126504,0.030125002
-0.0048122504,0.030197225
-0.0048118504,0.030422225
-0.0048114504,0.030536113
-0.0048110504,0.030544447
-0.0048106504,0.030700002
-0.0048102504,0.031033336
-0.0048098504,0.031222225
-0.0048094504,0.031230558
-0.0048090504,0.031275002
-0.0048086504,0.031430558
-0.0048082504,0.031669447
-0.0048078504,0.031755558
-0.0048074504,0.031669447
-0.0048070504,0.031625002
-0.0048066504,0.031847225
-0.0048062504,0.032366669
-0.0048058504,0.032758336
-0.0048054504,0.032858336
-0.0048050504,0.032711113
-0.0048046504,0.032519447
-0.0048042504,0.032391669
-0.0048038504,0.032411113
-0.0048034504,0.032663891
-0.0048030504,0.032913891
-0.0048026504,0.03297778
-0.0048022504,0.032919447
-0.0048018504,0.032944447
-0.0048014504,0.033088891
-0.0048010504,0.033300002
-0.0048006504,0.033522224
-0.0048002504,0.033625002
-0.0047998504,0.033586113
-0.0047994504,0.033600002
-0.0047990504,0.033658336
-0.0047986504,0.033463891
-0.0047982504,0.033175002
-0.0047978504,0.03320278
-0.0047974504,0.03360278
-0.0047970504,0.034019447
-0.0047966504,0.034258335
-0.0047962504,0.034522224
-0.0047958504,0.034641669
-0.0047954504,0.034688891
-0.0047950504,0.034958335
-0.0047946504,0.033755558
-0.0047942504,0.028433336
-0.0047938504,0.019308336
-0.0047934504,0.010358337
-0.0047930504,0.0052111149
-0.0047926504,0.0035333372
-0.0047922504,0.0031250039
-0.0047918504,0.0028083373
-0.0047914504,0.0023805595
-0.0047910504,0.0019805595
-0.0047906504,0.001825004
-0.0047902504,0.0018416707
-0.0047898504,0.0017472262
-0.0047894504,0.0014333373
-0.0047890504,0.0011027818
-0.0047886504,0.0010805596
-0.0047882504,0.0011361151
-0.0047878504,0.00098611515
-0.0047874504,0.0008555596
-0.0047870504,0.00096944849
-0.0047866504,0.0012305596
-0.0047862504,0.001375004
-0.0047858504,0.0014138929
-0.0047854504,0.0014472262
-0.0047850504,0.0013083374
-0.0047846504,0.0010916707
-0.0047842504,0.0013416707
-0.0047838504,0.0021638929
-0.0047834504,0.0027472262
-0.0047830504,0.0024638928
-0.0047826504,0.0016694484
-0.0047822504,0.001175004
-0.0047818504,0.0011583374
-0.0047814504,0.0012416707
-0.0047810504,0.0011666707
-0.0047806504,0.0010972263
-0.0047802504,0.001200004
-0.0047798504,0.0013916707
-0.0047794504,0.0016555596
-0.0047790504,0.0018916707
-0.0047786504,0.015436114
-0.0047782504,0.04047778
-0.0047778504,0.057902779
-0.0047774504,0.059491667
-0.0047770504,0.047680557
-0.0047766504,0.039038891
-0.0047762504,0.032936113
-0.0047758504,0.028497225
-0.0047754504,0.029197225
-0.0047750504,0.029469447
-0.0047746504,0.02950278
-0.0047742504,0.029063891
-0.0047738504,0.029008336
-0.0047734504,0.029144447
-0.0047730504,0.029058336
-0.0047726504,0.029166669
-0.0047722504,0.029358336
-0.0047718504,0.029297225
-0.0047714504,0.029080558
-0.0047710504,0.02925278
-0.0047706504,0.029763891
-0.0047702504,0.03007778
-0.0047698504,0.029622225
-0.0047694504,0.028869447
-0.0047690504,0.02885278
-0.0047686504,0.029591669
-0.0047682504,0.030319447
-0.0047678504,0.030441669
-0.0047674504,0.030341669
-0.0047670504,0.030555558
-0.0047666504,0.030941669
-0.0047662504,0.031200002
-0.0047658504,0.031369447
-0.0047654504,0.031458336
-0.0047650504,0.031455558
-0.0047646504,0.031397225
-0.0047642504,0.031325002
-0.0047638504,0.03137778
-0.0047634504,0.031658336
-0.0047630504,0.032166669
-0.0047626504,0.03260278
-0.0047622504,0.032780558
-0.0047618504,0.032822224
-0.0047614504,0.032886113
-0.0047610504,0.03287778
-0.0047606504,0.032733336
-0.0047602504,0.032708336
-0.0047598504,0.032855558
-0.0047594504,0.033100002
-0.0047590504,0.033275002
-0.0047586504,0.033225002
-0.0047582504,0.033147224
-0.0047578504,0.033211113
-0.0047574504,0.033441669
-0.0047570504,0.033722224
-0.0047566504,0.033847224
-0.0047562504,0.033758336
-0.0047558504,0.033641669
-0.0047554504,0.033625002
-0.0047550504,0.033555558
-0.0047546504,0.03330278
-0.0047542504,0.033175002
-0.0047538504,0.033563891
-0.0047534504,0.034225002
-0.0047530504,0.034747224
-0.0047526504,0.034986113
-0.0047522504,0.034866669
-0.0047518504,0.034491669
-0.0047514504,0.034244447
-0.0047510504,0.034522224
-0.0047506504,0.03500278
-0.0047502504,0.035025002
-0.0047498504,0.034644447
-0.0047494504,0.034330558
-0.0047490504,0.034322224
-0.0047486504,0.034497224
-0.0047482504,0.034633335
-0.0047478504,0.034669447
-0.0047474504,0.034658335
-0.0047470504,0.034697224
-0.0047466504,0.034711113
-0.0047462504,0.034719447
-0.0047458504,0.034888891
-0.0047454504,0.035458335
-0.0047450504,0.035336113
-0.0047446504,0.031541669
-0.0047442504,0.022966669
-0.0047438504,0.012911114
-0.0047434504,0.0061583371
-0.0047430504,0.0038972261
-0.0047426504,0.0033888928
-0.0047422504,0.0025444484
-0.0047418504,0.0014916707
-0.0047414504,0.00089722627
-0.0047410504,0.00080278183
-0.0047406504,0.00081389294
-0.0047402504,0.00081944849
-0.0047398504,0.00096389293
-0.0047394504,0.0012305596
-0.0047390504,0.0013888929
-0.0047386504,0.0013444485
-0.0047382504,0.0012555596
-0.0047378504,0.0013694485
-0.0047374504,0.0016472262
-0.0047370504,0.001800004
-0.0047366504,0.0016527818
-0.0047362504,0.0012555596
-0.0047358504,0.0010222263
-0.0047354504,0.0011972263
-0.0047350504,0.0015305596
-0.0047346504,0.0016472262
-0.0047342504,0.0014555596
-0.0047338504,0.001200004
-0.0047334504,0.0010666707
-0.0047330504,0.0011111151
-0.0047326504,0.0012444485
-0.0047322504,0.0014444485
-0.0047318504,0.0017027818
-0.0047314504,0.0019305595
-0.0047310504,0.0020527818
-0.0047306504,0.0019472262
-0.0047302504,0.0017111151
-0.0047298504,0.0015222262
-0.0047294504,0.0015083373
-0.0047290504,0.0075138926
-0.0047286504,0.017633336
-0.0047282504,0.026588891
-0.0047278504,0.033500002
-0.0047274504,0.034713891
-0.0047270504,0.033811113
-0.0047266504,0.03077778
-0.0047262504,0.02957778
-0.0047258504,0.031355558
-0.0047254504,0.030838891
-0.0047250504,0.030266669
-0.0047246504,0.029808336
-0.0047242504,0.029755558
-0.0047238504,0.029633336
-0.0047234504,0.029286114
-0.0047230504,0.028933336
-0.0047226504,0.028369447
-0.0047222504,0.028208336
-0.0047218504,0.028469447
-0.0047214504,0.029011114
-0.0047210504,0.029288891
-0.0047206504,0.029258336
-0.0047202504,0.029347225
-0.0047198504,0.029669447
-0.0047194504,0.029813891
-0.0047190504,0.029675002
-0.0047186504,0.02967778
-0.0047182504,0.030000002
-0.0047178504,0.03030278
-0.0047174504,0.030313891
-0.0047170504,0.03030278
-0.0047166504,0.030475002
-0.0047162504,0.03070278
-0.0047158504,0.030747225
-0.0047154504,0.030697225
-0.0047150504,0.030791669
-0.0047146504,0.030988891
-0.0047142504,0.031158336
-0.0047138504,0.031275002
-0.0047134504,0.031336113
-0.0047130504,0.03125278
-0.0047126504,0.031055558
-0.0047122504,0.030900002
-0.0047118504,0.030841669
-0.0047114504,0.030847225
-0.0047110504,0.031000002
-0.0047106504,0.031286113
-0.0047102504,0.031491669
-0.0047098504,0.031555558
-0.0047094504,0.031541669
-0.0047090504,0.031525002
-0.0047086504,0.031519447
-0.0047082504,0.03157778
-0.0047078504,0.031841669
-0.0047074504,0.032130558
-0.0047070504,0.032130558
-0.0047066504,0.031911113
-0.0047062504,0.031825002
-0.0047058504,0.032111113
-0.0047054504,0.032519447
-0.0047050504,0.03277778
-0.0047046504,0.032925002
-0.0047042504,0.033030558
-0.0047038504,0.033066669
-0.0047034504,0.03300278
-0.0047030504,0.033008336
-0.0047026504,0.033366669
-0.0047022504,0.033947224
-0.0047018504,0.034208335
-0.0047014504,0.034041669
-0.0047010504,0.03385278
-0.0047006504,0.03387778
-0.0047002504,0.033797224
-0.0046998504,0.033541669
-0.0046994504,0.033513891
-0.0046990504,0.033813891
-0.0046986504,0.034144447
-0.0046982504,0.034219447
-0.0046978504,0.034180558
-0.0046974504,0.034200002
-0.0046970504,0.034186113
-0.0046966504,0.034141669
-0.0046962504,0.034111113
-0.0046958504,0.03427778
-0.0046954504,0.034133335
-0.0046950504,0.031013891
-0.0046946504,0.023130558
-0.0046942504,0.013097226
-0.0046938504,0.0057305593
-0.0046934504,0.0031305595
-0.0046930504,0.003111115
-0.0046926504,0.0032888928
-0.0046922504,0.003236115
-0.0046918504,0.003036115
-0.0046914504,0.002911115
-0.0046910504,0.0028000039
-0.0046906504,0.002475004
-0.0046902504,0.0020111151
-0.0046898504,0.0016888929
-0.0046894504,0.0016916707
-0.0046890504,0.0017444484
-0.0046886504,0.001625004
-0.0046882504,0.0014472262
-0.0046878504,0.0013333374
-0.0046874504,0.0012194485
-0.0046870504,0.0010555596
-0.0046866504,0.0009555596
-0.0046862504,0.0010194485
-0.0046858504,0.0011916707
-0.0046854504,0.0013583374
-0.0046850504,0.0014638929
-0.0046846504,0.0014222262
-0.0046842504,0.0014472262
-0.0046838504,0.0016916707
-0.0046834504,0.0020194484
-0.0046830504,0.002225004
-0.0046826504,0.002025004
-0.0046822504,0.0015972262
-0.0046818504,0.0012194485
-0.0046814504,0.0010694485
-0.0046810504,0.0011138929
-0.0046806504,0.0010444485
-0.0046802504,0.0010416707
-0.0046798504,0.0013111151
-0.0046794504,0.0020527818
-0.0046790504,0.011080559
-0.0046786504,0.030241669
-0.0046782504,0.04538889
-0.0046778504,0.045391668
-0.0046774504,0.035608335
